No,Nama Prodi,Nama PT,Jenjang,LLDikti,
9875,Pendidikan Agama Islam,STAI YPBWI Surabaya,S1,,
9876,Pendidikan Islam Anak Usia Dini,STAI YPIQ Baubau,,,
9877,Komunikasi Dan Penyiaran Islam,STAI YPK Imam Bonjol Padang Panjang,,,
9878,Bimbingan Konseling Islam,STAI YPK Imam Bonjol Padang Panjang,,,
9879,Pendidikan Agama Islam,STAIN Al-Fatah Jayapura,S2,,
9880,Pendidikan Guru Madrasah Ibtidaiyah (PGMI),STAIN Al-Fatah Jayapura,S1,,
9881,Hukum Tatanegara (Siyasah),STAIN Bengkalis,S1,,
9882,Tadris Bahasa Inggris,STAIN Bengkalis,S1,,
9883,Ekonomi Syariah,STAIN Bengkalis,S1,,
9884,Sosiologi Agama,STAIN Bengkalis,S1,,
9885,Pendidikan Agama Islam,STAIN Bengkalis,S1,,
9886,Manajemen Pendidikan Islam,STAIN Bengkalis,S1,,
9887,Manajemen Keuangan Syariah,STAIN Bengkalis,S1,,
9888,Komunikasi Dan Penyiaran Islam,STAIN Bengkalis,S1,,
9889,Perbankan Syariah,STAIN Bengkalis,S1,,
9890,Akuntansi Syariah,STAIN Bengkalis,S1,,
9891,Hukum Keluarga (Ahwal Al Syakhshiyah),STAIN Bengkalis,S1,,
9892,Pendidikan Bahasa Arab,STAIN Bengkalis,S1,,
9893,Manajemen Dakwah,STAIN Bengkalis,S1,,
9894,Pendidikan Islam Anak Usia Dini,STAIN Bengkalis,S1,,
9895,Tadris Matematika,STAIN Gajah Putih Takengon Aceh Tengah,S1,,
9896,Tadris Bahasa Inggris,STAIN Gajah Putih Takengon Aceh Tengah,S1,,
9897,Pendidikan Agama Islam,STAIN Gajah Putih Takengon Aceh Tengah,S2,,
9898,Pendidikan Agama Islam,STAIN Gajah Putih Takengon Aceh Tengah,S1,,
9899,Pendidikan Bahasa Arab,STAIN Gajah Putih Takengon Aceh Tengah,S1,,
9900,Manajemen Pendidikan Islam,STAIN Gajah Putih Takengon Aceh Tengah,S1,,
9901,Ilmu Al Quran Dan Tafsir,STAIN Gajah Putih Takengon Aceh Tengah,S1,,
9902,Hukum Tatanegara (Siyasah),STAIN Gajah Putih Takengon Aceh Tengah,S1,,
9903,Pendidikan Guru Madrasah Ibtidaiyah,STAIN Gajah Putih Takengon Aceh Tengah,S1,,
9904,Pendidikan Islam Anak Usia Dini,STAIN Gajah Putih Takengon Aceh Tengah,S1,,
9905,Ekonomi Syariah,STAIN Gajah Putih Takengon Aceh Tengah,S1,,
9906,Pendidikan Agama Islam,STAIN Kediri,S2,,
9907,Psikologi Islam,STAIN Kediri,S1,,
9908,Ahwal Al-Syakhshiyah,STAIN Pamekasan,S1,,
9909,Perbankan Syariah,STAIN Pamekasan,S1,,
9910,Pendidikan Agama Islam,STAIN Pamekasan,S1,,
9911,Tadris Bahasa Indonesia,STAIN Pamekasan,S1,,
9912,Ilmu Al Quran Dan Tafsir,STAIN Pamekasan,S1,,
9913,Pendidikan Bahasa Arab,STAIN Pamekasan,S1,,
9914,Akuntansi Syariah,STAIN Pamekasan,S1,,
9915,Pendidikan Islam Anak Usia Dini,STAIN Pamekasan,S1,,
9916,Bimbingan Dan Konseling Pendidikan Islam,STAIN Pamekasan,S1,,
9917,Pendidikan Agama Islam,STAIN Sorong,S2,,
9918,Pendidikan Agama Islam,STAIN Tengku Dirundeng Meulaboh,S1,,
9919,Ilmu Al-Qur'an Dan Tafsir,STAIN Tengku Dirundeng Meulaboh,S1,,
9920,Perbankan Syariah,STAIN Tengku Dirundeng Meulaboh,S1,,
9921,Manajemen Pendidikan Islam,STAIN Tengku Dirundeng Meulaboh,S1,,
9922,Hukum Pidana Islam (Jinayah),STAIN Tengku Dirundeng Meulaboh,S1,,
9923,Pendidikan Bahasa Arab,STAIN Tengku Dirundeng Meulaboh,S1,,
9924,Pengembangan Masyarakat Islam,STAIN Tengku Dirundeng Meulaboh,S1,,
9925,Pendidikan Islam Anak Usia Dini,STAIN Watampone,S1,,
9926,Hukum Tatanegara (Siyasah),STAIN Watampone,S1,,
9927,Pendidikan Bahasa Arab,STAIN Watampone,S1,,
9928,Perbankan Syariah,STAIN Watampone,S1,,
9929,Ekonomi Syari'ah,STAIN Watampone,S1,,
9930,Pendidikan Bahasa Arab,STAINU Kotabumi Lampung Utara,S1,,
9931,Pendidikan Agama Kristen,STAK Anak Bangsa,S1,,
9932,Agama Dan Budaya,STAK Negeri Ambon,S1,,
9933,Pendidikan Seni Musik,STAK Negeri Ambon,S1,,
9934,Musik Gereja,STAK Negeri Ambon,S2,,
9935,Bimbingan Konseling Kristen,STAK Negeri Ambon,S1,,
9936,Teologi,STAK Negeri Kupang,S3,,
9937,Pastoral Konseling,STAK Negeri Kupang,S1,,
9938,Pendidikan Agama Kristen,STAK Negeri Kupang,S1,,
9939,Teologi (Akademik),STAK Negeri Palangka Raya,S2,,
9940,Pendidikan Agama Kristen,STAK Negeri Palangka Raya,S3,,
9941,Kepemimpinan Kristen,STAK Negeri Palangka Raya,S1,,
9942,Pendidikan Agama Kristen,STAK Negeri Palangka Raya,S2,,
9943,Pastoral Konseling,STAK Negeri Palangka Raya,S1,,
9944,Misiologi,STAK Negeri Palangka Raya,S1,,
9945,Musik Gereja,STAK Negeri Palangka Raya,S1,,
9946,Pastoral Konseling,STAK Negeri Palangka Raya,S2,,
9947,Teologi (Akademik),STAK Negeri Sentani,S1,,
9948,Musik Gereja,STAK Negeri Sentani,S1,,
9949,Pendidikan Agama Kristen,STAK Negeri Sentani,S1,,
9950,Pendidikan Agama Kristen,STAK Negeri Sentani,S2,,
9951,Teologi (Akademik),STAK Negeri Tarutung,S1,,
9952,Pendidikan Agama Kristen,STAK Negeri Tarutung,S1,,
9953,Teologi (Akademik),STAK Negeri Tarutung,S3,,
9954,Pendidikan Agama Kristen,STAK Negeri Tarutung,S2,,
9955,Kepemimpinan Kristen,STAK Negeri Toraja,S2,,
9956,Misiologi,STAK Negeri Toraja,S1,,
9957,Musik Gerejawi,STAK Negeri Toraja,S1,,
9958,Pastoral Konseling,STAK Negeri Toraja,S1,,
9959,Sastra Inggris,STBA Haji Agus Salim,S1,10,
9960,Bahasa Jepang,STBA Haji Agus Salim,D-III,10,
9961,Sastra Inggris,Stba Persahabatan Internasional Asia,S1,1,
9962,Sastra Cina,Stba Persahabatan Internasional Asia,S1,1,
9963,Ekonomi Syariah,STEBI Global Mulia Cikarang,S1,,
9964,Perbankan Syariah,STEBI Global Mulia Cikarang,S1,,
9965,Ekonomi Syariah,STEBIS Al-Ulum Terpadu Medan,S1,,
9966,Perbankan Syariah,STEI Al Amar Subang Jawa Barat,S1,,
9967,Ekonomi Syariah,STEI Al Amar Subang Jawa Barat,S1,,
9968,Perbankan Syariah,STEI Ar - Rachman,S1,,
9969,Perbankan Syariah,STEI Ar Risalah Ciamis Jawa Barat,S1,,
9970,Ekonomi Syariah,STEI Ar Risalah Ciamis Jawa Barat,S1,,
9971,Ekonomi Islam,STEI Iqra Annisa Pekanbaru,S1,,
9972,Perbankan Syariah,STEI LPPM Padalarang,S1,,
9973,Ekonomi Islam,STEI Tiara Rawamangun,S1,,
9974,Ekonomi Syari`ah,STEI Walisongo Sampang,S1,,
9975,Ilmu Teologi,STFT Gki Izaak Samuel Kijne Jayapura,S1,14,
9976,Pendidikan Agama Kristen,STFT GKI Izaak Samuel Kijne Jayapura,S1,,
9977,Ekonomi Syari`ah,STI Ekonomi Syari`ah Baktiya Aceh Utara,S1,,
9978,Ilmu Administrasi Negara,STIA &amp; Pemerintahan Annisa Dwi Salfarizi,S1,2,
9979,Ilmu Pemerintahan,STIA &amp; Pemerintahan Annisa Dwi Salfarizi,S1,2,
9980,Ilmu Administrasi Niaga,STIA Abdul Azis Kataloka,S1,12,
9981,Ilmu Administrasi Negara,STIA Abdul Azis Kataloka,S1,12,
9982,Administrasi Negara,STIA Asuh Mitra Solo,S1,6,
9983,Administrasi Niaga,STIA Asuh Mitra Solo,S1,6,
9984,Manajemen Perkantoran,STIA Asuh Mitra Solo,D-III,6,
9985,Administrasi,STIA Bala Putra Dewa,D-III,2,
9986,Ilmu Administrasi Negara,STIA Bala Putra Dewa,S1,2,
9987,Ilmu Administrasi Negara,STIA Bina Banua Banjarmasin,S1,11,
9988,Ilmu Administrasi,STIA Bina Banua Banjarmasin,S2,11,
9989,Ilmu Administrasi Negara,STIA Bina Nusantara Mandiri Pariaman,S1,10,
9990,Ilmu Administrasi Niaga,STIA Dan Manajemen Kepelabuhan Barunawati,S1,7,
9991,Administrasi Perkantoran,STIA Nusantara Sakti Sungai Penuh,D-III,10,
9992,Ilmu Administrasi Negara,STIA Nusantara Sakti Sungai Penuh,S1,10,
9993,Administrasi Niaga,STIA Puangrimaggalatung,D-III,9,
9994,Ilmu Administrasi,STIA Puangrimaggalatung,S2,9,
9995,Manajemen Sumber Daya Manusia Aparatur,STIA-Lembaga Administrasi Negara Bandung,D-IV,,
9996,Administrasi Pembangunan Negara,STIA-Lembaga Administrasi Negara Bandung,S2,,
9997,Manajemen Ekonomi Publik,STIA-Lembaga Administrasi Negara Bandung,S1,,
9998,Administrasi Pembangunan Negara,STIA-Lembaga Administrasi Negara Bandung,D-IV,,
9999,Administrasi Bisnis Sektor Publik,STIA-Lembaga Administrasi Negara Bandung,D-IV,,
10000,Administrasi Pembangunan Negara,STIA-Lembaga Administrasi Negara Jakarta,D-IV,,
10001,Manajemen Sumber Daya Manusia Aparatur,STIA-Lembaga Administrasi Negara Jakarta,D-IV,,
10002,Administrasi Bisnis Sektor Publik,STIA-Lembaga Administrasi Negara Jakarta,D-IV,,
10003,Administrasi Pembangunan Negara,STIA-Lembaga Administrasi Negara Jakarta,S2,,
10004,Administrasi Bisnis Sektor Publik,STIA-Lembaga Administrasi Negara Makassar,D-IV,,
10005,Administrasi Pembangunan Negara,STIA-Lembaga Administrasi Negara Makassar,D-IV,,
10006,Manajemen Sumber Daya Manusia Aparatur,STIA-Lembaga Administrasi Negara Makassar,D-IV,,
10007,Administrasi Pembangunan Negara,STIA-Lembaga Administrasi Negara Makassar,S2,,
10008,Komunikasi Dan Penyiaran Islam,STID Al-Hadid Surabaya,S1,,
10009,Pengembangan Masyarakat Islam,STID Al-Hadid Surabaya,S1,,
10010,Manajemen Dakwah,STID Al-Hadid Surabaya,S1,,
10011,Komunikasi Dan Penyiaran Islam,STID Dirosat Islamiyah Al-Hikmah Mampang Jakarta Selatan,S1,,
10012,Pengembangan Masyarakat Islam,STID Mohammad Natsir Bekasi,S1,,
10013,Bimbingan Dan Penyuluhan Islam,STID Mustafa Ibrahim Al-Ishlahuddiny Kediri Lombok Barat NTB,S1,,
10014,Komunikasi Dan Penyiaran Islam,STID Mustafa Ibrahim Al-Ishlahuddiny Kediri Lombok Barat NTB,S1,,
10015,Akuntansi,STIE Akuntansi Dan Bisnis Internasional,S1,1,
10016,Manajemen,STIE Akuntansi Dan Bisnis Internasional,S1,1,
10017,Manajemen,STIE Bumi Persada Lhokseumawe,S1,13,
10018,Akuntansi,STIE Bumi Persada Lhokseumawe,S1,13,
10019,Manajemen,STIE Dharma Negara,S1,4,
10020,Akuntansi,STIE Dharma Negara,S1,4,
10021,Akuntansi,STIE Graha Karya Muara Bulian,D-III,10,
10022,Akuntansi,STIE Harapan Duri,S1,10,
10023,Manajemen,STIE IBEK Pangkalpinang Bangka,S1,2,
10024,Akuntansi,STIE IBEK Pangkalpinang Bangka,S1,2,
10025,Akuntansi,STIE IBMI Medan,S1,1,
10026,Manajemen,STIE IBMI Medan,S1,1,
10027,Manajemen,STIE Indonesia Banking School,S2,3,
10028,Manajemen Keuangan Dan Perbankan Syariah,STIE Indonesia Banking School,S1,3,
10029,Akuntansi,STIE Jakarta International College,S1,3,
10030,Akuntansi,STIE Mahaputra Riau,D-III,10,
10031,Manajemen,STIE Mahaputra Riau,S1,10,
10032,Akuntansi,STIE Mahaputra Riau,S1,10,
10033,Manajemen,STIE Manajemen Bisnis Indonesia,S1,3,
10034,Akuntansi,STIE Muhammadiyah Paciran Lamongan,S1,7,
10035,Akuntansi,STIE Muhammadiyah Pekalongan,D-III,6,
10036,Akuntansi,STIE Muhammadiyah Pekalongan,S1,6,
10037,Ekonomi Islam,STIE Muhammadiyah Pekalongan,S1,6,
10038,Manajemen,STIE Nagoya Indonesia,S1,10,
10039,Akuntansi,STIE Nagoya Indonesia,S1,10,
10040,Manajemen,STIE Nias Selatan,S1,1,
10041,Akuntansi,STIE Nias Selatan,D-III,1,
10042,Manajemen,STIE Nobel Indonesia Makassar,S1,9,
10043,Manajemen,STIE Ottow &amp; Geissler Fak-fak,S1,14,
10044,Akuntansi,STIE Ottow &amp; Geissler Fak-fak,D-III,14,
10045,Ekonomi Pembangunan,STIE Ottow &amp; Geissler Fak-fak,S1,14,
10046,Manajemen,STIE Pariwisata Internasional,S1,3,
10047,Manajemen,STIE Pariwisata Internasional,S2,3,
10048,Manajemen,STIE Pasim Sukabumi,S1,4,
10049,Akuntansi,STIE Pasim Sukabumi,S1,4,
10050,Akuntansi,STIE Pengembangan Bisnis Dan Manajemen,S1,3,
10051,Manajemen,STIE Pengembangan Bisnis Dan Manajemen,S2,3,
10052,Akuntansi,STIE Prakarti Mulya,S1,10,
10053,Manajemen,STIE Prakarti Mulya,S1,10,
10054,Manajemen,STIE Saint Theresa,S1,14,
10055,Ekonomi Syariah,STIE Syari`ah Al-Mujaddid,S1,,
10056,Hukum Ekonomi Syariah,STIE Syari`ah Al-Mujaddid,S1,,
10057,Perbankan Syariah,STIE Syari`ah Al-Mujaddid,S1,,
10058,Manajemen Pemasaran,STIE Unisadhuguna,D-III,3,
10059,Ekonomi Pembangunan,STIE Unisadhuguna,S1,3,
10060,Manajemen,STIE Widyaswara Indonesia,S1,10,
10061,Akuntansi,STIE YBPK Palangka Raya,D-III,11,
10062,Manajemen,STIEB Perdana Mandiri,S1,4,
10063,Akuntansi,STIEB Perdana Mandiri,S1,4,
10064,Akuntansi,STIEB Perdana Mandiri,D-III,4,
10065,Perbankan Syariah,STIES Indonesia Purwakarta,S1,,
10066,Ekonomi Syariah,STIES Indonesia Purwakarta,,,
10067,Ilmu Hukum,STIH Indonesia Jentera,S1,3,
10068,Ilmu Hukum,STIH Litigasi,S1,3,
10069,Ilmu Hukum,STIH Putri Maharaja,S1,10,
10070,KEPERAWATAN,STIKES ADI HUSADA,,,
10071,Teknologi Rekayasa Elektro-medis,STIKES Al-Insyirah Pekanbaru,D-IV,10,
10072,KEBIDANAN,STIKES AS SYIFA,D-III,1,
10073,FARMASI,STIKES KUSUMA BANGSA,,,
10074,PROFESI NERS,STIKES LAKIPADADA,Profesi,9,
10075,ILMU KEPERAWATAN,STIKES LAKIPADADA,S1,9,
10076,KEPERAWATAN,STIKES MAMBA UL ULUM SURAKARTA,,,
10077,KEBIDANAN,STIKES MAMBA UL ULUM SURAKARTA,,,
10078,FARMASI,STIKES MUHAMMADIYAH KUNINGAN,D-III,4,
10079,KEBIDANAN,STIKES NAMIRA MADINA,D-III,1,
10080,KEBIDANAN,STIKES PAMENANG,D-III,7,
10081,SISTEM MANAJEMEN INFORMASI KESEHATAN,STIKES PANTI WALUYA MALANG,,,
10082,FARMASI,STIKES PANTI WALUYA MALANG,,,
10083,KEBIDANAN,STIKES PELITA IBU,,,
10084,PENDIDIKAN PROFESI BIDAN,STIKES PELITA IBU,,,
10085,KEBIDANAN,STIKES PELITA IBU,,,
10086,ADMINSITRASI RUMAH SAKIT,STIKES PELITA IBU,,,
10087,KEBIDANAN,STIKES PRIMA INDONESIA,D-III,4,
10088,TEKNOLOGI LABORATORIUM MEDIK,STIKES PRIMA INDONESIA,,,
10089,FARMASI,STIKES PRIMA INDONESIA,,,
10090,KEPERAWATAN,STIKES RS BAPTIS KEDIRI,,,
10091,NERS,STIKES RS BAPTIS KEDIRI,,,
10092,KEPERAWATAN,STIKES RS BAPTIS KEDIRI,,,
10093,Manajemen Informatika,STIKI Malang,D-III,7,
10094,Teknik Informatika,STIKI Malang,S1,7,
10095,Sistem Informasi,STIKI Malang,S1,7,
10096,Desain Komunikasi Visual,STIKI Malang,S1,7,
10097,Ilmu Komunikasi,STIKOM Muhammadiyah Jayapura,S1,14,
10098,Teknik Informatika,STIKOM Tunas Bangsa,S1,1,
10099,Sistem Informasi,STIKOM Tunas Bangsa,S1,1,
10100,Pendidikan Dan Pengajaran Agama Katolik,STIKPAR Toraja,S1,,
10101,Ilmu Kesejahteraan Sosial,STIKS Tamalanrea Makassar,S1,9,
10102,Sekretari,STIKS Tarakanita,D-III,3,
10103,Manajemen,STIMI Banjarmasin,S2,11,
10104,Manajemen,STIMI Samarinda,S1,11,
10105,Teknik Informatika,STIMIK Kupang,S1,15,
10106,Sistem Informasi,STIMIK Lamappapoleonro,S1,9,
10107,Sistem Informasi,STIMIK Tunas Bangsa Banjarnegara,S1,6,
10108,Agroteknologi,STIP Graha Karya,S1,10,
10109,Agribisnis,STIP Graha Karya,S1,10,
10110,Pendidikan Dan Pengajaran Agama Katolik,STIPAR Ende,S1,,
10111,Pendidikan Dan Pengajaran Agama Katolik,STIPAS Keuskupan Agung Kupang,S1,,
10112,Pendidikan Dan Pengajaran Agama Katolik,STIPAS St.Sirilus Ruteng,S1,,
10113,Pendidikan Dan Pengajaran Agama Katolik,STIPAS Tahasak Danum Pambelum Keuskupan Palangkaraya,S1,,
10114,Agribisnis,STIPER Muhammadiyah Tanah Grogot,S1,11,
10115,Agroteknologi,STIPER Muhammadiyah Tanah Grogot,S1,11,
10116,Peternakan,STIPER Santo Thomas Aquinas Jayapura,S1,14,
10117,Agroteknologi,STIPER Santo Thomas Aquinas Jayapura,S1,14,
10118,Agribisnis,STIPER Santo Thomas Aquinas Jayapura,S1,14,
10119,Budidaya Perairan,STIPER Santo Thomas Aquinas Jayapura,S1,14,
10120,Agroteknologi,STIPER Sawahlunto Sijunjung,S1,10,
10121,Peternakan,STIPER Sawahlunto Sijunjung,S1,10,
10122,Agribisnis,STIPER Sawahlunto Sijunjung,S1,10,
10123,Psikologi,STIPSI Abdi Nusa,S1,2,
10124,Psikologi,STIPSI Widya Dharma,S1,2,
10125,Ilmu Al Qur`an Dan Tafsir,STIQ Kepulauan Riau,S1,,
10126,Ilmu Al-Qur'an Dan Tafsir,STIQ Miftahul Huda Rawalo Banyumas Jawa Tengah,S1,,
10127,Hukum Ekonomi Syari`ah (Mu`amalah),STIS Al-Hilal Sigli Kab. Pidie,S1,,
10128,Hukum Keluarga Islam (Ahwal Syakhshiyyah),STIS Al-Hilal Sigli Kab. Pidie,S1,,
10129,Hukum Pidana Islam (Jinayah),STIS Al-Hilal Sigli Pidie,S1,,
10130,Hukum Keluarga (Ahwal Syakhshiyah),STIS Al-Wahidiyah Kediri Jawa Timur,S1,,
10131,Hukum Keluarga Islam (Ahwal Syakhshiyyah),STIS As-Sa'adah Sukasari Sumedang,S1,,
10132,Hukum Ekonomi Syariah,STIS As-Sa'adah Sukasari Sumedang,S1,,
10133,Hukum Ekonomi Syariah (Muamalah),STIS Darul Falah Pagutan Mataram NTB,S1,,
10134,Hukum Keluarga (Ahwal Al Syakhshiyah),STIS Darul Falah Pagutan Mataram NTB,S1,,
10135,Muamalah,STIS Faqih Asy`ari,S1,,
10136,Akhwal Asy-Syakhsiyah,STIS Faqih Asy`ari,S1,,
10137,Pendidikan Guru Madrasah Ibtidaiyah,STIS Samarinda,,,
10138,Hukum Keluarga (Akhwal Syahsiyyah),STIS Samarinda,,,
10139,Ilmu Administrasi Negara,STISIP Bina Generasi Polewali,S1,9,
10140,Ilmu Pemerintahan,STISIP Bina Generasi Polewali,S1,9,
10141,Administrasi  Negara,STISIP Bina Marta,S1,2,
10142,Ilmu Pemerintahan,STISIP Bina Putera Banjar,S1,4,
10143,Ilmu Pemerintahan,STISIP Guna Nusantara,S1,4,
10144,Ilmu Pemerintahan,STISIP Imam Bonjol,S1,10,
10145,Administrasi Publik,STISIP Kartika Bangsa,S2,5,
10146,Administrasi Publik,STISIP Kartika Bangsa,S1,5,
10147,Ilmu Administrasi Negara,STISIP Margarana,S1,8,
10148,Sosiologi,STISIP Merdeka Manado,S1,16,
10149,Administrasi Publik,STISIP Muhammadiah Sinjai,S1,9,
10150,Ilmu Kesejahteraan Sosial,STISIP Muhammadiyah Madiun,S1,7,
10151,Ilmu Komunikasi,STISIP Muhammadiyah Madiun,S1,7,
10152,Ilmu Administrasi Negara,STISIP Muhammadiyah Rappang,S1,9,
10153,Ilmu Komunikasi,STISIP Nurdin Hamzah,S1,10,
10154,Ilmu Pemerintahan,STISIP Nurdin Hamzah,S1,10,
10155,Ilmu Komunikasi,STISIP Padang,S1,10,
10156,Ilmu Komunikasi,STISIP Panca Bhakti Palu,S1,16,
10157,Ilmu Pemerintahan,STISIP Petta Baringeng Soppeng,S1,9,
10158,Ilmu Komunikasi,STISIP Petta Baringeng Soppeng,S1,9,
10159,Ilmu Administrasi Negara,STISIP Setia Budhi,S1,4,
10160,Ilmu Pemerintahan,STISIP Setia Budhi,S1,4,
10161,Ilmu Pemerintahan,STISIP Silas Papare Jayapura,S1,14,
10162,Sosiologi,STISIP Silas Papare Jayapura,S1,14,
10163,Ilmu Administrasi Negara,STISIP Syamsul Ulum,S1,4,
10164,Ilmu Pemerintahan,STISIP Tasikmalaya,S1,4,
10165,Ilmu Pemerintahan,STISIP Tasikmalaya,S2,4,
10166,Ilmu Pemerintahan,STISIP Trimasda Cilegon,S1,4,
10167,Administrasi Publik,STISIP Trimasda Cilegon,S1,4,
10168,Sosiologi,STISIP Trimasda Cilegon,S1,4,
10169,Ilmu Komunikasi,STISIP Widyapuri Mandiri,S1,4,
10170,Ilmu Administrasi Niaga,STISIP Yupentek Tangerang,S1,4,
10171,Ilmu Pemerintahan,STISIP Yupentek Tangerang,S1,4,
10172,Ilmu Administrasi Negara,STISIPOL Candradimuka,S1,2,
10173,Ilmu Pemerintahan,STISIPOL Mujahidin,S1,16,
10174,Ilmu Administrasi Negara,STISIPOL Mujahidin,S1,16,
10175,Ilmu Komunikasi,STISIPOL Pahlawan 12,S1,2,
10176,Ilmu Administrasi Negara,STISIPOL Pahlawan 12,S1,2,
10177,Ilmu Pemerintahan,STISIPOL Yaleka Maro,S1,14,
10178,Pendidikan Agama Islam,STIT Al-Amin Indramayu,S1,,
10179,Pendidikan Agama Islam,STIT Al-Amin Kreo Tangerang,S1,,
10180,Pendidikan Agama Islam,STIT Al-Anshar Tanjung Selor Bulungan,S1,,
10181,Pendidikan Islam Anak Usia Dini,STIT Al-Anshar Tanjung Selor Bulungan,S1,,
10182,Pendidikan Islam Anak Usia Dini,STIT Al-Azami Cianjur,S1,,
10183,Pendidikan Agama Islam,STIT Al-Azami Cianjur,S1,,
10184,Pendidikan Agama Islam,STIT Al-Aziziyah Kapek Gunungsari Lombok Barat Nusa Tenggara,S1,,
10185,Pendidikan Agama Islam,STIT Al-Falah Rimbo Bujang,,,
10186,Pendidikan Islam Anak Usia Dini,STIT Al-Hidayah Tasikmalaya,S1,,
10187,Ilmu Al-Qur'an Dan Tafsir,STIT Al-Hidayah Tasikmalaya,S1,,
10188,Pendidikan Bahasa Arab,STIT Al-Hidayah Tasikmalaya,S1,,
10189,Pendidikan Guru Madrasah Ibtidaiyah,STIT Al-Hikmah Tebing Tinggi Sumatera Utara,S1,,
10190,Pendidikan Islam Anak Usia Dini,STIT Al-Hikmah Tebing Tinggi Sumatera Utara,S1,,
10191,Pendidikan Agama Islam,STIT Al-Ibrohimy Bangkalan,S1,,
10192,Pendidikan Islam Anak Usia Dini,STIT Al-Ibrohimy Bangkalan,S1,,
10193,Pendidikan Islam Anak Usia Dini,STIT Al-Khairiyah Citangkil Cilegon,S1,,
10194,Pendidikan Islam Anak Usia Dini,STIT Al-Marhalah Al-`Ulya Bekasi,S1,,
10195,Pendidikan Guru Madrasah Ibtidaiyah,STIT Al-Muslihun Tlogo Kanaigoro Blitar,S1,,
10196,Pendidikan Bahasa Arab,STIT Al-Qur`an Al-Ittifaqiah (STITQI) Ogan Ilir Sumatera Selatan,S1,,
10197,Ilmu Al-Qur'an Dan Tafsir,STIT Al-Qur`an Al-Ittifaqiah (STITQI) Ogan Ilir Sumatera Selatan,S1,,
10198,Pendidikan Agama Islam,STIT Al-Qur`an Al-Ittifaqiah (STITQI) Ogan Ilir Sumatera Selatan,S1,,
10199,Pendidikan Islam Anak Usia Dini,STIT Al-Qur`an Al-Ittifaqiah (STITQI) Ogan Ilir Sumatera Selatan,S1,,
10200,Ekonomi Syariah,STIT Al-Qur`an Al-Ittifaqiah (STITQI) Ogan Ilir Sumatera Selatan,S1,,
10201,Perbankan Syariah,STIT Al-Qur`an Al-Ittifaqiah (STITQI) Ogan Ilir Sumatera Selatan,S1,,
10202,Pendidikan Guru Madrasah Ibtidaiyah,STIT Al-Quraniyah,,,
10203,Pendidikan Agama Islam,STIT Al-Urwatul Wutsqo Jombang,S1,,
10204,Pendidikan Agama Islam,STIT Al-Washliyah Binjai,S1,,
10205,Pendidikan Islam Anak Usia Dini,STIT Al-Washliyah Binjai,S1,,
10206,Pendidikan Guru Madrasah Ibtidaiyah,STIT Al-Washliyah Binjai,S1,,
10207,Pendidikan Bahasa Arab,STIT Aqidah Usymuni Sumenep,S1,,
10208,Pendidikan Guru Madrasah Ibtidaiyah,STIT Aqidah Usymuni Sumenep,S1,,
10209,Pendidikan Islam Anak Usia Dini,STIT Ar-Raudhah,S1,,
10210,Pendidikan Agama Islam,STIT As-Salama Tual Maluku Tenggara,,,
10211,Pendidikan Agama Islam,STIT At-Taqwa Ciparay Bandung,S1,,
10212,Pendidikan Agama Islam,STIT At-Taqwa Gegerkalong Bandung,S1,,
10213,Manajemen Pendidikan Islam,STIT Babussalam,,,
10214,Pendidikan Guru Madrasah Ibtidaiyah,STIT Babussalam,,,
10215,Pendidikan Islam Anak Usia Dini,STIT Balikpapan (STITBA),S1,,
10216,Pendidikan Agama Islam,STIT Balikpapan (STITBA),S1,,
10217,Pendidikan Guru Madrasah Ibtidaiyah,STIT Balikpapan (STITBA),S1,,
10218,Pendidikan Agama Islam,STIT Bustanul `Ulum Lampung Tengah,S1,,
10219,Pendidikan Bahasa Arab,STIT Darul Hijrah Martapura,S1,,
10220,Perbankan Syariah,STIT Darul Ulum,,,
10221,Psikologi Islam,STIT Darul Ulum,,,
10222,Pendidikan Islam Anak Usia Dini,STIT Darul Ulum,,,
10223,Pendidikan Bahasa Arab,STIT Darussalam Lhokseumawe,S1,,
10224,Pendidikan Agama Islam,STIT Darussalimin Nahdlatul Wathan Praya Lombok Tengah Nusa Tenggara Barat,S1,,
10225,Pendidikan Bahasa Arab,STIT Darussalimin NW Praya Lombok Tengah Nusa Tenggara Barat,S1,,
10226,Pendidikan Guru Madrasah Ibtidaiyah,STIT Hamzah Al-Fansuri Sibolga Barus (STIT HASIBA) Tapanuli Tengah,,,
10227,Pendidikan Agama Islam,STIT Hamzah Al-Fansuri Sibolga Barus (STIT HASIBA) Tapanuli Tengah,,,
10228,Pendidikan Agama Islam,STIT Hamzah Fansuri Subulussalam Aceh,S1,,
10229,Manajemen Pendidikan Islam,STIT Hamzah Fansuri Subulussalam Aceh,S1,,
10230,Pendidikan Agama Islam,STIT Ibnu Rusyd Grogot Paser,,,
10231,Pendidikan Bahasa Arab,STIT Ibnu Sina Malang,S1,,
10232,Pendidikan Agama Islam,STIT Insan Kamil Bogor Jawa Barat,S1,,
10233,Pendidikan Agama Islam,STIT Iqra` Kapuas Hulu,,,
10234,Pendidikan Islam Anak Usia Dini,STIT Islamic Village Tangerang Banten,S1,,
10235,Pendidikan Agama Islam,STIT Islamic Village Tangerang Banten,S1,,
