No,Nama Prodi,Nama PT,Jenjang,LLDikti,
125,KEBIDANAN,AKADEMI KEBIDANAN ALIFAH PADANG,,,
126,KEBIDANAN,AKADEMI KEBIDANAN AL-IKHLAS CISARUA,,,
127,KEBIDANAN,AKADEMI KEBIDANAN AL-ISHLAH CILEGON,D-III,4,
128,KEBIDANAN,AKADEMI KEBIDANAN AL-SUA'IBAH PALEMBANG,,,
129,KEBIDANAN,AKADEMI KEBIDANAN AMANAH MUARA BUNGO,,,
130,KEBIDANAN,AKADEMI KEBIDANAN ANNISA JAYA,,,
131,KEBIDANAN,AKADEMI KEBIDANAN AN-NUR HUSADA WALISONGO,,,
132,KEBIDANAN,AKADEMI KEBIDANAN AN-NUR PURWODADI,D-III,6,
133,KEBIDANAN,AKADEMI KEBIDANAN ANUGERAH BINTAN,D-III,10,
134,KEBIDANAN,AKADEMI KEBIDANAN AR-RAHMA,D-III,7,
135,KEBIDANAN,AKADEMI KEBIDANAN AR-RAHMAH BANDUNG,,,
136,KEBIDANAN,AKADEMI KEBIDANAN AR-RUM SALATIGA,D-III,6,
137,KEBIDANAN,AKADEMI KEBIDANAN ARTA KABANJAHE,,,
138,KEBIDANAN,AKADEMI KEBIDANAN AS SYIFA,,,
139,KEBIDANAN,AKADEMI KEBIDANAN ASSYIFA TANGERANG,,,
140,KEBIDANAN,AKADEMI KEBIDANAN AUDI HUSADA MEDAN,D-III,1,
141,KEBIDANAN,AKADEMI KEBIDANAN BAKTI INDONESIA BALIKPAPAN,,,
142,KEBIDANAN,AKADEMI KEBIDANAN BAKTI INDONESIA BOGOR,,,
143,KEBIDANAN,AKADEMI KEBIDANAN BALI WISNU DHARMA DENPASAR,,,
144,KEBIDANAN,AKADEMI KEBIDANAN BANDUNG,D-III,4,
145,KEBIDANAN,AKADEMI KEBIDANAN BANJARBARU,,,
146,KEBIDANAN,AKADEMI KEBIDANAN BANUA BINA HUSADA,,,
147,KEBIDANAN,AKADEMI KEBIDANAN BARUNA HUSADA SIBUHUAN,D-III,1,
148,KEBIDANAN,AKADEMI KEBIDANAN BATARI TOJA,,,
149,KEBIDANAN,AKADEMI KEBIDANAN BERLIAN NUSANTARA,,,
150,KEBIDANAN,AKADEMI KEBIDANAN BETANG ASI RAYA,,,
151,KEBIDANAN,AKADEMI KEBIDANAN BHAKTI ASIH,,,
152,KEBIDANAN,AKADEMI KEBIDANAN BHAKTI BANGSA,,,
153,KEBIDANAN,AKADEMI KEBIDANAN BHAKTI HUSADA CIKARANG,D-III,4,
154,KEBIDANAN,AKADEMI KEBIDANAN BHAKTI NUGRAHA,,,
155,KEBIDANAN,AKADEMI KEBIDANAN BHAKTI NUSANTARA SALATIGA,,,
156,KEBIDANAN,AKADEMI KEBIDANAN BHAKTI PERTIWI PEMALANG,,,
157,KEBIDANAN,AKADEMI KEBIDANAN BHAKTI PURNA HUSADA,D-III,4,
158,KEBIDANAN,AKADEMI KEBIDANAN BHAKTI PUTRA BANGSA PURWOREJO,D-III,6,
159,KEBIDANAN,AKADEMI KEBIDANAN BINA DAYA HUSADA,,,
160,KEBIDANAN,AKADEMI KEBIDANAN BINA HUSADA,,,
161,KEBIDANAN,AKADEMI KEBIDANAN BINA HUSADA TANGERANG,,,
162,KEBIDANAN,AKADEMI KEBIDANAN BINA SEHAT NUSANTARA,,,
163,KEBIDANAN,AKADEMI KEBIDANAN BORNEO MEDISTRA,,,
164,KEBIDANAN,AKADEMI KEBIDANAN BUDI MULIA,D-III,10,
165,KEBIDANAN,AKADEMI KEBIDANAN BUDI MULIA,,,
166,KEBIDANAN,AKADEMI KEBIDANAN BUNDA AUNI,,,
167,KEBIDANAN,AKADEMI KEBIDANAN BUNDA KOTAMOBAGU,,,
168,KEBIDANAN,AKADEMI KEBIDANAN BUNGA BANGSA IDI,,,
169,KEBIDANAN,AKADEMI KEBIDANAN BUNGA BANGSAKU BANGKA,,,
170,KEBIDANAN,AKADEMI KEBIDANAN BUNGA HUSADA,,,
171,KEBIDANAN,AKADEMI KEBIDANAN BUNGA KALIMANTAN,,,
172,KEBIDANAN,AKADEMI KEBIDANAN BUTON RAYA,D-III,9,
173,KEBIDANAN,AKADEMI KEBIDANAN CIANJUR,D-III,4,
174,KEBIDANAN,AKADEMI KEBIDANAN DARMAIS PADANGSIDIMPUAN,,,
175,KEBIDANAN,AKADEMI KEBIDANAN DARMO MEDAN,D-III,1,
176,KEBIDANAN,AKADEMI KEBIDANAN DARUL HUSADA,,,
177,KEBIDANAN,AKADEMI KEBIDANAN DARUSSALAM,D-III,13,
178,KEBIDANAN,AKADEMI KEBIDANAN DEHASEN BENGKULU,D-III,2,
179,KEBIDANAN,AKADEMI KEBIDANAN DELI HUSADA DELITUA MEDAN,D-III,1,
180,KEBIDANAN,AKADEMI KEBIDANAN DELIMA,,,
181,KEBIDANAN,AKADEMI KEBIDANAN DHARMA HUSADA KEDIRI,D-III,7,
182,KEBIDANAN,AKADEMI KEBIDANAN DHARMA HUSADA PEKANBARU,,,
183,KEBIDANAN ,AKADEMI KEBIDANAN DHARMA PRAJA BONDOWOSO,,,
184,KEBIDANAN,AKADEMI KEBIDANAN DUTA DHARMA PATI,,,
185,KEBIDANAN,AKADEMI KEBIDANAN FARAMA MULYA,,,
186,KEBIDANAN,AKADEMI KEBIDANAN GATRA BUANA GURABATI TIDORE,,,
187,KEBIDANAN,AKADEMI KEBIDANAN GEMA NUSANTARA BEKASI,,,
188,KEBIDANAN,AKADEMI KEBIDANAN GEMILANG HUSADA KOTABUMI,D-III,2,
189,KEBIDANAN,AKADEMI KEBIDANAN GRAHA ANANDA,,,
190,KEBIDANAN,AKADEMI KEBIDANAN GRAHA HUSADA SAMPANG,,,
191,KEBIDANAN,AKADEMI KEBIDANAN GRAHA MANDIRI CILACAP,D-III,6,
192,KEBIDANAN,AKADEMI KEBIDANAN GRIYA HUSADA,D-III,7,
193,KEBIDANAN,AKADEMI KEBIDANAN HAFSYAH MEDAN,,,
194,KEBIDANAN,AKADEMI KEBIDANAN HAJI AMIRULLAH,,,
195,KEBIDANAN,AKADEMI KEBIDANAN HAMPAR BAIDURI,,,
196,KEBIDANAN,AKADEMI KEBIDANAN HANG JEBAT,,,
197,KEBIDANAN,AKADEMI KEBIDANAN HARAPAN BUNDA,D-III,8,
198,KEBIDANAN,AKADEMI KEBIDANAN HARAPAN IBU LANGSA,,,
199,KEBIDANAN,AKADEMI KEBIDANAN HARAPAN IBU PEKALONGAN,,,
200,KEBIDANAN,AKADEMI KEBIDANAN HARAPAN KELUARGA,D-III,1,
201,KEBIDANAN,AKADEMI KEBIDANAN HARAPAN MAMA DELI SERDANG,,,
202,KEBIDANAN,AKADEMI KEBIDANAN HARAPAN MULYA PONOROGO,D-III,7,
203,KEBIDANAN,AKADEMI KEBIDANAN HELVETIA MEDAN,D-III,1,
204,KEBIDANAN,AKADEMI KEBIDANAN HEPPY ZAL PALEMBANG,,,
205,KEBIDANAN,AKADEMI KEBIDANAN HISARMA MEDAN,,,
206,KEBIDANAN,AKADEMI KEBIDANAN HUSADA GEMILANG,D-III,10,
207,KEBIDANAN,AKADEMI KEBIDANAN IBRAHIMY,D-III,7,
208,KEBIDANAN,AKADEMI KEBIDANAN IBTISAM AULIA,,,
209,KEBIDANAN,AKADEMI KEBIDANAN IKA BINA LABUHAN BATU,D-III,1,
210,KEBIDANAN,AKADEMI KEBIDANAN IMAM BONJOL,D-III,10,
211,KEBIDANAN,AKADEMI KEBIDANAN INDRAGIRI,,,
212,KEBIDANAN,AKADEMI KEBIDANAN INTERNASIONAL PEKANBARU,D-III,10,
213,KEBIDANAN,AKADEMI KEBIDANAN JEMBER,,,
214,KEBIDANAN,AKADEMI KEBIDANAN KAMANRE PALOPO,D-III,9,
215,KEBIDANAN,AKADEMI KEBIDANAN KARTIKA MITRA HUSADA,,,
216,KEBIDANAN,AKADEMI KEBIDANAN KARTINI JAKARTA,,,
217,KEBIDANAN,AKADEMI KEBIDANAN KARYA BUNDA HUSADA,D-III,4,
218,KEBIDANAN,AKADEMI KEBIDANAN KELUARGA BUNDA JAMBI,,,
219,KEBIDANAN,AKADEMI KEBIDANAN KERIS HUSADA,D-III,3,
220,KEBIDANAN,AKADEMI KEBIDANAN KH PUTRA,,,
221,KEBIDANAN,AKADEMI KEBIDANAN KHARISMA HUSADA BINJAI,,,
222,KEBIDANAN,AKADEMI KEBIDANAN KHOLISATUR RAHMI,,,
223,KEBIDANAN,AKADEMI KEBIDANAN KUDUS,,,
224,KEBIDANAN,AKADEMI KEBIDANAN KUTAI HUSADA,,,
225,KEBIDANAN,AKADEMI KEBIDANAN LA TANSA MASHIRO,,,
226,KEBIDANAN,AKADEMI KEBIDANAN LAKSAMANA,,,
227,KEBIDANAN,AKADEMI KEBIDANAN LANGKAT,,,
228,KEBIDANAN,AKADEMI KEBIDANAN LAPATAU BONE,D-III,9,
229,KEBIDANAN,AKADEMI KEBIDANAN MADINA HUSADA,,,
230,KEBIDANAN,AKADEMI KEBIDANAN MAKARIWO,,,
231,KEBIDANAN,AKADEMI KEBIDANAN MANDIRI GRESIK,D-III,7,
232,KEBIDANAN,AKADEMI KEBIDANAN MANNA,,,
233,KEBIDANAN,AKADEMI KEBIDANAN MATORKIS,D-III,1,
234,KEBIDANAN,AKADEMI KEBIDANAN MEDICA BAKTI NUSANTARA,,,
235,KEBIDANAN,AKADEMI KEBIDANAN MEDICA BAKTI PERSADA,,,
236,KEBIDANAN,AKADEMI KEBIDANAN MEDIKA WIYATA KEDIRI,,,
237,KEBIDANAN,AKADEMI KEBIDANAN MENARA BUNDA,D-III,9,
238,KEBIDANAN,AKADEMI KEBIDANAN MENARA PRIMADANI,,,
239,KEBIDANAN,AKADEMI KEBIDANAN MINASA UPA,,,
240,KEBIDANAN,AKADEMI KEBIDANAN MITRA HUSADA MEDAN,D-III,1,
241,KEBIDANAN,AKADEMI KEBIDANAN MITRA HUSADA PADANG,,,
242,KEBIDANAN,AKADEMI KEBIDANAN MITRA SEHAT SIDOARJO,D-III,7,
